call_id,paper_id,condition,repeat,model,temperature,top_p,min_p,input_sha256,status,latency_seconds,timestamp,raw_response_path
EP-44,Chao2018,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,COMPLETED_SUCCESS,101.71,2026-08-24T18:44:28.925591+00:00,content/raw_responses/evidence_prior_202608/EP-44.json
EP-45,Chao2018,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,ac20514b8b7c514589c3eb910ca031260860faeb92dde4dc139de5fa1c774eea,COMPLETED_SUCCESS,101.4,2026-08-24T18:46:10.641740+00:00,content/raw_responses/evidence_prior_202608/EP-45.json
EP-46,Bastos2020,Condition A (Full),1,gemma-4-31b-it,0.35,0.9,0.1,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,COMPLETED_SUCCESS,441.13,2026-08-24T18:47:52.053140+00:00,content/raw_responses/evidence_prior_202608/EP-46.json
EP-47,Bastos2020,Condition A (Full),2,gemma-4-31b-it,0.35,0.9,0.1,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,COMPLETED_SUCCESS,112.52,2026-08-24T18:55:13.197680+00:00,content/raw_responses/evidence_prior_202608/EP-47.json
EP-48,Bastos2020,Condition A (Full),3,gemma-4-31b-it,0.35,0.9,0.1,6770829da1400735e64ddfb44bcd51fa0c88bdb359430811a857ac68f4d629f2,COMPLETED_SUCCESS,113.26,2026-08-24T18:57:05.736115+00:00,content/raw_responses/evidence_prior_202608/EP-48.json
EP-49,Bastos2020,Condition B (Abstract),1,gemma-4-31b-it,0.35,0.9,0.1,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,COMPLETED_SUCCESS,92.12,2026-08-24T18:58:59.004848+00:00,content/raw_responses/evidence_prior_202608/EP-49.json
EP-50,Bastos2020,Condition B (Abstract),2,gemma-4-31b-it,0.35,0.9,0.1,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,COMPLETED_SUCCESS,81.66,2026-08-24T19:00:31.136242+00:00,content/raw_responses/evidence_prior_202608/EP-50.json
EP-51,Bastos2020,Condition B (Abstract),3,gemma-4-31b-it,0.35,0.9,0.1,fcdcfb20c1cf44ffd1e655d04406f747d040687b83231509146c26601e4ec100,COMPLETED_SUCCESS,80.45,2026-08-24T19:01:52.812095+00:00,content/raw_responses/evidence_prior_202608/EP-51.json
EP-52,Bastos2020,Condition C (Masked),1,gemma-4-31b-it,0.35,0.9,0.1,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,COMPLETED_SUCCESS,437.87,2026-08-24T19:03:13.281654+00:00,content/raw_responses/evidence_prior_202608/EP-52.json
EP-53,Bastos2020,Condition C (Masked),2,gemma-4-31b-it,0.35,0.9,0.1,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,COMPLETED_SUCCESS,113.22,2026-08-24T19:10:31.172417+00:00,content/raw_responses/evidence_prior_202608/EP-53.json
EP-54,Bastos2020,Condition C (Masked),3,gemma-4-31b-it,0.35,0.9,0.1,f6a5ae615a0fca92567056657215ec5c7286ee81e691002e586605b6b28a6de5,COMPLETED_SUCCESS,115.39,2026-08-24T19:12:24.405373+00:00,content/raw_responses/evidence_prior_202608/EP-54.json
